Ticker,Name,Sector,Industry,Universe,Volume,AverageVolume10days,MACDV_12_26_9,MACDV_H_12_26_9,MACDV_H_12_26_9_TrendUp,MACDV_50_200,OTT Uptrend,OTT Ratio,ATR_20,Signal,USI,USI Diff,USI crossed zero,Num shares,Close
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,S&P 500,3331800,2822530.0,-87.91449402744806,-6.198567490897943,True,-227.78525416880413,False,0.9776976616828618,0.6456574964992385,None,-0.3560133697012394,-0.0002153998862509665,False,154,35.709999084472656
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,S&P 600,3163600,2574650.0,-79.14149761424424,-13.175681260215299,False,-228.27254513056073,False,0.9741483713652621,0.21723245306396693,None,-0.3688891474236031,-0.03325679239607998,False,460,5.849999904632568
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products,S&P 600,664300,244860.0,-20.12001618787082,-27.994520039421797,False,-228.46860468467307,True,1.0097052109670768,1.7209279486905906,None,-0.1272222490086967,-0.07996996414889301,False,58,39.599998474121094
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,S&P 600,8430500,8765110.0,-59.235885106552566,-42.999519407229656,False,-228.9224621054655,False,0.9669158532248897,1.1534044916001522,None,-0.22273035744728117,-0.10042670556950384,False,86,21.860000610351562
WY,Weyerhaeuser,Real Estate,Timber REITs,S&P 500,3236500,3838540.0,-36.48864321775599,-3.77952488837078,False,-229.95930393827555,False,0.97976982980346,0.5771002725581036,None,-0.1397934254474753,-0.05144830482862717,False,173,23.93000030517578
XNCR,Xencor Inc,Health Care,Biotechnology,S&P 600,699500,988660.0,181.6661583397196,17.65730603555386,False,-230.4724185202732,True,1.0623847552332994,0.5840036103615533,None,0.0,0.0,False,171,13.029999732971191
IRT,IRT Living,Real Estate,Multi-Family Residential REITs,S&P 400,3817500,3163870.0,-79.42613293692051,-3.9198766236904135,True,-230.4860102545246,False,0.9815840638759536,0.3249827236636768,None,-0.29488191077980025,-0.00247222986760115,False,307,16.1200008392334
FCN,FTI Consulting,Industrials,Research & Consulting Services,S&P 400,518200,353920.0,-35.82220208454992,9.487984175484925,False,-230.8726795968044,False,0.9826038256194344,2.9495517732005436,None,-0.14762444571365874,0.023602775834827533,False,33,161.6999969482422
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,S&P 500,1228700,1020810.0,-24.113688726720486,33.55288137663172,False,-232.96841754527264,False,0.9820146474634736,8.813215724315098,None,0.09297442988202102,0.05176823711775273,False,11,509.0
UNIT,Uniti Group,Communication Services,Alternative Carriers,S&P 600,2351700,2343180.0,-57.31030717078086,-3.850029272140361,False,-233.42261312641662,False,0.9782502652899674,0.3724032842304302,None,-0.17244623149945087,-0.0005421238555819163,False,268,5.730000019073486
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,Automobile Manufacturers,S&P 600,588900,435660.0,-52.77146817143018,-33.60388440081062,False,-233.80256771482468,True,1.0001849333313713,1.2354327444687843,None,-0.2585492229605688,-0.08467770974555264,False,80,29.65999984741211
KNF,Knife River Corporation,Materials,Construction Materials,S&P 400,849400,737390.0,-123.49407173845195,-18.71874411418804,False,-234.0459147441669,False,0.9659240473956342,2.553302482413531,None,-0.46012977270797,-0.04212841191300676,False,39,67.36000061035156
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,S&P 600,11031500,9145460.0,9.725436995897082,8.649799065891699,False,-234.39214821206838,False,0.9876696601043976,0.2634726226759563,None,0.17570063174978087,-0.03524859166766764,False,379,5.369999885559082
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,S&P 600,686600,593290.0,-5.903972050944828,-12.681134375885735,False,-234.59361411456797,False,0.9983709548782317,0.29526152260441474,None,0.025131981291055615,-0.09730700429722045,False,338,7.949999809265137
ZTS,Zoetis,Health Care,Pharmaceuticals,S&P 500,2890700,3140750.0,-60.06170960613614,-2.2914026500521416,False,-234.64576283503789,False,0.981901222258227,2.9701790863770694,None,-0.2886903879880047,-0.04718729658041809,False,33,141.11000061035156
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,S&P 600,4419000,3837530.0,68.19441993083679,-3.026105032279105,False,-235.61498643402922,True,1.019744133441693,0.566199338210788,None,0.35056918139575277,-0.06721399912558451,False,176,12.050000190734863
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,S&P 600,1359000,1221780.0,13.94009381544741,-17.982816870949897,False,-238.56030075441404,True,1.0099440779338673,0.2659450848090384,None,0.08303191624387013,-0.05777548270128152,False,376,6.119999885559082
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,S&P 500,1684000,1397970.0,-17.860377991201304,-12.275674068282521,False,-238.6394103553184,False,0.9915054380014061,1.7860262380733656,None,-0.0383811386154457,-0.07717414455420635,False,55,73.23999786376953
AZTA,"Azenta, Inc.",Health Care,Life Sciences Tools & Services,S&P 600,403300,561350.0,17.903094984294896,6.78208782267599,False,-238.9662869086481,False,0.9924468740980994,1.3524409117593819,None,0.09031347973178433,-0.04342367991080301,False,73,29.809999465942383
MMC,Marsh McLennan,Financials,Insurance Brokers,S&P 500,2841000,2398200.0,26.898790227749913,38.65363479497297,True,-240.66502930153342,False,0.9897681911810786,2.92361082943507,None,0.33473157557119587,0.08384040503416967,False,34,207.02000427246094
EEFT,Euronet Worldwide,Financials,Transaction & Payment Processing Services,S&P 400,965100,610640.0,-78.54982148971158,-8.071594647357244,False,-241.65611523569933,False,0.9672194714257886,2.1538792416304178,None,-0.4965796139381503,-0.09093622777026555,False,46,83.11000061035156
KBR,"KBR, Inc.",Industrials,Diversified Support Services,S&P 400,2051000,1079060.0,-77.3439206395012,-27.121497129860046,False,-244.14904912694416,False,0.9758200149217655,1.2863045323408187,None,-0.31367320491554007,-0.08719187812936435,False,77,43.25
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,S&P 600,810400,534180.0,-63.41002125053855,1.5041313858137926,False,-244.94312872920517,False,0.9806465996569729,2.131578857884217,None,-0.14256381368449086,-0.041444568038306415,False,46,78.98999786376953
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,S&P 500,2745000,3756460.0,-38.17311757799949,8.836495900227874,False,-245.9391584611718,False,0.9825821060951583,1.4403127885258928,None,-0.1150710420524223,-0.04052491797678136,False,69,66.66000366210938
CDW,CDW Corporation,Information Technology,Technology Distributors,S&P 500,1458700,1146910.0,-87.95213576941222,-27.431047079305188,False,-246.0188039860327,False,0.962311209612738,4.274553814060418,None,-0.290463820110093,-0.05993713545038801,False,23,145.0399932861328
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,S&P 600,2046400,2138520.0,-41.79721189205835,-29.340052666581776,False,-251.5160763775336,False,0.9702082900779385,1.0197057281807236,None,-0.10268709484764332,-0.07660686732519564,False,98,22.040000915527344
FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,S&P 600,165000,251380.0,-105.04916681980454,20.720917212972722,False,-251.74518052171032,False,0.9816512789931702,0.9389271296002634,None,-0.474862026295298,0.01758649472438767,False,106,37.130001068115234
